,customer_id,birthday,country,spanish_speaker,join_date,tier
0,4,09/25/1989,IN,False,08/18/2020,1. STANDARD
1,33,02/12/1943,AU,True,09/18/2020,5. EXCELSIOR
2,34,01/14/1949,IN,True,01/10/2022,3. GOLD
3,82,05/14/1999,BR,False,06/10/2020,2. BUSINESS
4,96,12/04/1938,IN,False,05/23/2023,3. GOLD
5,98,10/21/1997,AU,True,04/14/2023,3. GOLD
6,104,02/26/1967,IN,True,10/05/2022,4. PREMIUM
7,109,04/16/1937,IT,False,09/10/2022,5. EXCELSIOR
8,117,01/22/1935,FR,True,02/25/2023,1. STANDARD
9,120,01/01/1940,US,False,04/14/2022,3. GOLD
10,129,12/11/1948,SP,True,06/24/2020,2. BUSINESS
11,133,04/07/1965,JP,False,04/12/2022,3. GOLD
12,177,12/28/1966,SP,True,06/06/2021,3. GOLD
13,187,03/24/1937,IT,True,11/15/2021,4. PREMIUM
14,188,01/04/1987,DE,True,03/12/2023,1. STANDARD
15,205,09/12/1950,IN,False,08/23/2022,4. PREMIUM
16,210,10/26/1997,IN,False,05/23/2021,2. BUSINESS
17,215,08/03/1998,IT,False,06/09/2022,4. PREMIUM
18,219,03/09/1998,US,False,08/07/2020,4. PREMIUM
19,231,12/07/1939,JP,True,02/19/2022,5. EXCELSIOR
20,233,04/02/1948,FR,True,04/10/2022,5. EXCELSIOR
21,247,04/08/1981,JP,False,08/15/2020,5. EXCELSIOR
22,249,07/21/1965,FR,False,04/24/2023,1. STANDARD
23,253,04/06/1985,IT,True,05/03/2022,5. EXCELSIOR
24,285,08/16/1983,UK,True,10/14/2020,3. GOLD
25,290,01/17/1952,FR,True,04/10/2022,2. BUSINESS
26,331,02/02/1964,IN,False,03/18/2022,2. BUSINESS
27,401,02/07/1947,AU,False,11/13/2022,1. STANDARD
28,409,04/04/1985,AU,False,10/04/2022,3. GOLD
29,412,10/17/1973,IT,True,04/18/2022,1. STANDARD
30,433,05/01/1966,AU,False,10/14/2021,5. EXCELSIOR
31,444,03/28/1964,JP,True,10/06/2020,2. BUSINESS
32,449,11/23/2003,FR,False,02/06/2022,2. BUSINESS
33,464,02/15/1947,US,False,01/24/2023,2. BUSINESS
34,493,09/26/1962,IN,False,05/10/2023,1. STANDARD
35,505,09/27/1963,BR,True,10/09/2020,2. BUSINESS
36,513,10/21/1947,AU,False,04/25/2023,3. GOLD
37,529,08/13/1967,IN,True,05/16/2020,4. PREMIUM
38,535,01/21/1948,BR,False,04/14/2020,1. STANDARD
39,538,10/05/1989,US,False,03/11/2021,5. EXCELSIOR
40,542,09/16/1981,DE,False,12/04/2022,2. BUSINESS
41,545,04/09/1977,SP,True,09/04/2021,4. PREMIUM
42,560,05/14/1968,IN,True,04/27/2022,1. STANDARD
43,563,11/20/1971,DE,False,12/01/2020,3. GOLD
44,571,05/08/1950,JP,False,04/07/2022,5. EXCELSIOR
45,586,05/13/1985,IN,True,06/21/2022,1. STANDARD
46,587,04/23/1976,UK,True,04/10/2021,4. PREMIUM
47,596,03/12/2000,IT,True,12/24/2020,5. EXCELSIOR
48,597,11/26/1997,JP,True,11/02/2022,1. STANDARD
49,600,09/03/1948,IT,False,05/17/2023,1. STANDARD
